Core: niosv_mem_if_ddr3_emif_fpga_p0 - Instance: fpga_niosv_inst|mem_if_ddr3_emif_fpga
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",-0.037,0.517
"Bus Turnaround Time (Slow 1100mV 85C Model)",6.929,--
"Core (Slow 1100mV 85C Model)",-0.824,0.303
"Core Recovery/Removal (Slow 1100mV 85C Model)",0.732,1.026
"DQS vs CK (Slow 1100mV 85C Model)",0.473,0.538
"Postamble (Slow 1100mV 85C Model)",0.762,0.762
"Read Capture (Slow 1100mV 85C Model)",0.294,0.246
"Write (Slow 1100mV 85C Model)",0.224,0.32
"Address Command (Slow 1100mV 0C Model)",0.023,0.461
"Bus Turnaround Time (Slow 1100mV 0C Model)",7.068,--
"Core (Slow 1100mV 0C Model)",-0.819,0.347
"Core Recovery/Removal (Slow 1100mV 0C Model)",0.888,0.923
"DQS vs CK (Slow 1100mV 0C Model)",0.543,0.525
"Postamble (Slow 1100mV 0C Model)",0.745,0.745
"Read Capture (Slow 1100mV 0C Model)",0.306,0.258
"Write (Slow 1100mV 0C Model)",0.259,0.347
"Address Command (Fast 1100mV 85C Model)",0.754,0.613
"Bus Turnaround Time (Fast 1100mV 85C Model)",7.66,--
"Core (Fast 1100mV 85C Model)",1.763,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.717,0.416
"DQS vs CK (Fast 1100mV 85C Model)",0.7,0.757
"Postamble (Fast 1100mV 85C Model)",0.917,0.917
"Read Capture (Fast 1100mV 85C Model)",0.508,0.461
"Write (Fast 1100mV 85C Model)",0.477,0.477
"Address Command (Fast 1100mV 0C Model)",0.747,0.628
"Bus Turnaround Time (Fast 1100mV 0C Model)",7.692,--
"Core (Fast 1100mV 0C Model)",1.787,0.142
"Core Recovery/Removal (Fast 1100mV 0C Model)",4.065,0.363
"DQS vs CK (Fast 1100mV 0C Model)",0.689,0.774
"Postamble (Fast 1100mV 0C Model)",0.937,0.937
"Read Capture (Fast 1100mV 0C Model)",0.512,0.464
"Write (Fast 1100mV 0C Model)",0.479,0.486
